# 未命中但有相似句的參考草稿：原文 <TAB> 相似句譯文 <TAB> 相似句原文 <TAB> 相似度
This is the sweetest little gingerbread house you ever saw.  The walls are cake, the roof is frosting, the chimney looks delicious, and the candy path and cookie fence are unbearably tempting!	這是你見過最甜美的小薑餅屋。牆壁是蛋糕做的，屋頂是糖霜，煙囪是用軟糖磚砌成的，糖果小徑和餅乾圍籬更是誘人得讓人受不了！	This is the sweetest little gingerbread house you've ever seen. The walls are cake, the roof is frosting, the chimney is made from gummy bricks, and the candy path and cookie fence are unbearably tempting!	0.83
The path is around the corner.	門在轉角那邊。	The door is around the corner.	0.87
There's no sorcerer here.	這裡沒有王杖。	There is no sceptre here.	0.84
These are some of the finest walnuts you have ever seen.	這些是你見過最大、最飽滿的胡桃。	These are some of the largest, plumpest walnuts you have ever seen.	0.86
You are not close enough to the Raging River.	你離水不夠近。	You are not close enough to the water.	0.87
From here it looks like an ordinary delta of pebbles.	從這裡看，這只是一片普通的鵝卵石灘。	From here it looks like an ordinary beach of pebbles.	0.94
There are many smooth pebbles next to the river.	湖邊有許多光滑的鵝卵石。	There are many smooth pebbles next to the lake.	0.93
Being invisible has protected you from the dwarf.	隱形保護了你和你的寶物，沒讓矮人得逞。	Being invisible has protected you, and your treasures, from the dwarf.	0.82
What a pretty bed of wild flowers.	好一片美麗的野花花圃。	What a pretty bed of wildflowers.	0.99
It would be a shame to pick the lovely wild flowers.	摘下這些美麗的野花實在太可惜了。	It would be a shame to pick the lovely wildflowers.	0.99
You throw the dagger and it lands in the stream, lost forever.	你把短刀丟出去，短刀落入河中，永遠消失了。	You throw the dagger and it lands in the river, lost for all time.	0.86
You still haven't guessed my name!	矮人：「你還沒猜出我的名字呢！」	GNOME: "You still haven't guessed my name!"	0.88
The gnome can't hear you from there.	你站在那裡，矮人聽不見你說話！	The gnome can't hear you from there!	0.97
You should get a little closer.	你得再靠近一點。	You need to get a little closer.	0.83
There are no beans here.	這裡沒有鳥。	There are no birds here.	0.88
There is no gnome here.	這裡沒有繩索。	There is no rope here.	0.89
Where did you get that idea?  That's not even close!	矮人：「你這想法是打哪來的？差得可遠了！」	GNOME: "Where did you get that idea? That's not even close!"	0.92
The river runs swiftly between steep banks.	河水在陡峭的兩岸之間湍急流動。	The river flows swiftly between steep banks.	0.92
You can't reach the river from here.	你在這裡搆不到那扇門。	You cannot reach the door from here.	0.86
When you look in the doorway, you see a poor, starving woodcutter and his wife.	你朝門口望去，看見一位可憐挨餓的樵夫和他的妻子。	When you look in the doorway, you see a poor starving woodcutter and his wife.	0.99
How are you going to use the ax when you can't even get it out of this stump?	你連斧頭都拔不出樹樁，要怎麼用它？	How are you going to use the axe when you can't even get it out of the stump?	0.97
The trees were cut from these stumps long ago.	多年前，這些樹木就是從這些樹樁上砍下的。	The trees were cut from these stumps years ago.	0.90
When you look in the window, you see a poor, starving woodcutter and his wife.	你從窗戶望進去，看見一個貧窮挨餓的樵夫和他的妻子。	When you look in the window, you see a poor starving woodcutter and his wife.	0.99
There is no ogre here.	這裡沒有繩索。	There is no rope here.	0.91
You see the familiar side of the Raging River.	你看見這條洶湧河流你熟悉的這一岸。	You see the familiar side of the raging river.	0.96
You need to get closer to do that.	你得靠近一點才能這麼做。	You need to be closer to do that.	0.96
This lovely meadow is split by the Raging River.	這片美麗的草原被一條奔騰洶湧的河流一分為二。	This lovely meadow is split by a wild, raging river.	0.86
There is no mushroom here.	這裡沒有繩索。	There is no rope here.	0.83
OUCH	哎呦！	OUCH!	0.89
You have nothing to cut the rope with.	你沒有辦法割斷繩索。	You have no way to cut the rope.	0.80
You need to be closer to the water to drink.	你得再靠近水邊一點。	You need to get closer to the water.	0.85
In this large cavern, there is a slimy dead dragon, an opening on one side, and a large boulder in the other.	在這個寬闊的地底洞穴裡，有一條渾身黏液的綠色巨龍已死，一側有個洞口，還有一塊碩大的巨石。	In this large underground cavern, there is one slimy green dead dragon, an opening on one side, and a very large boulder.	0.83
There is no dragon here.	這裡沒有短刀。	There is no dagger here.	0.88
This dragon had only one life and you have taken it.	這隻巨龍只有一條命，而你已經取走了。	This dragon had only one life, and you have already taken it.	0.92
There is no mirror here.	這裡沒有繩索。	There is no rope here.	0.87
You could get a much better view if you were closer.	你要是再靠近一點，視野會清楚許多。	You could get a much better view if you were a little bit closer.	0.89
You are not close enough to reach it.	你離鳥巢不夠近。	You're not close enough to the nest.	0.82
You don't have any water.	你身上沒有短刀。	You don't have a dagger.	0.86
You can't do that from here.!	你在水底下沒辦法這麼做！	You can't do that from under water!	0.84
It looks like this bottle has been here for a very long time.	這只箱子看起來已經埋在這裡很長一段時間了。	It looks like this chest has been buried here for a very long time.	0.88
You are not close enough to see him clearly.	你離得不夠近，看不進井裡。	You are not close enough to see into the well.	0.82
The magic chest appears to have been fashioned from ebony and rimmed on the edges with gold.	巨人附近的地上，擺著一只金盒子，看起來是用烏木打造，邊緣鑲著金邊。	On the ground near the giant is a magic chest that appears to have been fashioned from ebony and rimmed on the edges with gold.	0.83
You are in the Land of the Clouds.  It is rumored that a giant lives here.	你身處雲之國，傳說有個巨人住在這上面。	You are in the Land of the Clouds. It is rumored that a giant lives up here.	0.98
It is empty.	它是空的。	It's empty.	0.87
This sling is made of very stretchy leather.	這把投石器是用非常有彈性的皮革做的。	This slingshot is made of very stretchy leather.	0.96
You reach into the hole and pull out the leather sling.	你把手伸進洞裡，拉出那把皮革投石器。	You reach into the hole and pull out the leather slingshot.	0.96
You can't see into the hole from here.	從這裡看不到洞裡面。	You can't see inside the hole from here.	0.92
You need to be closer to try.	你得靠近一點才能這麼做。	You need to be closer to do that.	0.87
There is a pure golden egg lying in the nest!	鳥巢裡躺著一顆完美無瑕、閃閃發光的金蛋。	There is a perfect, shimmering golden egg lying in the nest.	0.82
The nest is empty.	洞裡是空的。	The hole is empty.	0.83
You can't get the egg from here!	你沒辦法從這裡切斷繩索。	You can't cut the rope from here.	0.83
The witch mutters, "I am going to get my oven ready to cook someone for dinner (yum)."	巫婆喃喃道：「我要去把大鍋準備好，煮個人來當晚餐（嗯，真香）。」	The witch mutters, "I am going to get my cauldron ready to cook someone for dinner (yum)."	0.95
The witch mumbles, "After I get the oven nice and hot, I will be ready to have someone for dinner (giggle)."	巫婆嘀咕著：「等我把大鍋燒得夠熱，就能請人來吃晚餐了（咯咯）。」	The witch mumbles, "After I get the cauldron nice and hot, I will be ready to have someone for dinner (giggle)."	0.96
The witch mutters, "The oven is heating up nicely.  I wonder who will be my dinner guest!"	巫婆喃喃道：「大鍋燒得正好，不知道誰會是我的晚餐貴客呢！」	The witch mutters, "The cauldron is heating up nicely. I wonder who will be my dinner guest!"	0.96
The witch says, "My oven is now the perfect temperature. It is time to invite someone for dinner (cackle, cackle)!"	巫婆說：「我的大鍋現在溫度剛剛好，是時候邀請誰來吃晚餐了（咯咯笑）！」	The witch says, "My cauldron is now the perfect temperature. It is time to invite someone for dinner (cackle, cackle)!"	0.97
Rats!  She has cast some spell to keep you from escaping!. The witch remarks, "Oh, how nice of you to come for dinner (cackle, cackle)"	糟了！她施了某種魔法讓你逃不掉！巫婆說道：「喔，你能來吃晚餐真是太好了（咯咯笑）！」	Rats! She has cast some spell to keep you from escaping! The witch remarks, "Oh, how nice of you to come for dinner (cackle, cackle)!"	0.99
There is no witch here.	這裡沒有洞。	There is no hole here.	0.84
I don't see any here.	這裡沒有看到魚。	You don't see any fish here.	0.82
You cannot see it from here.	從這裡看不到什麼。	You can't see much from here.	0.84
You may have seen one in the other room, but I am not sure.	你或許在另一個房間看過一張床，但我不太確定。	You may have seen a bed in the other room, but I am not sure.	0.95
You are not close enough to touch it.	你離水不夠近。	You are not close enough to the water.	0.88
There is a note lying on top of it.	上面看起來放著一張紙條。	It looks like there is a note lying on top of it.	0.81
The bed is not here.	這裡沒有水桶。	The bucket is not here.	0.88
You cannot reach it from here.	你在這裡搆不到那扇門。	You cannot reach the door from here.	0.88
You don't have the note.	你身上沒有短刀。	You don't have the dagger.	0.84
You are in the Land of the Clouds.  It is rumored a giant lives up here.	你身處雲之國，傳說有個巨人住在這上面。	You are in the Land of the Clouds. It is rumored that a giant lives up here.	0.97
The further you get from the light, the darker and mustier it becomes.	你離光源越遠，霉味就越重。	The farther you get from the light, the mustier it becomes.	0.90
There is no rat here.	這裡沒有山羊。	There is no goat here.	0.93
The door is closed.	門已經關上了。	The door is already closed.	0.83
You do not have any.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.80
The rat drools at the sight of the cheese... and snatches it from your hand.  You might want to count your fingers.	大老鼠一看到乳酪就流口水，一把從你手中搶走。你也許該數數自己的手指還在不在。	The rat drools at the sight of the cheese, and snatches it from your hand. You might want to count your fingers.	0.98
The leprechauns' magic powers detect your unseen presence.	地穴人的魔法察覺到你隱形的存在。	The leprechauns' magical powers detect your unseen presence.	0.98
There are not any leprechauns here.	這裡沒有地穴人。	There are no leprechauns here.	0.92
There aren't any leprechauns here.	這裡沒有地穴人。	There are no leprechauns here.	0.88
The King of the leprechauns is sitting on the stone throne.	地穴人國王坐在他的王座上。	The King of the Leprechauns is sitting on his throne.	0.91
It is made of titanium and is rimmed with jewels.	靈盾以鈦金屬打造，邊緣鑲著珠寶。	The shield is made of titanium and is rimmed with jewels.	0.89
You need to get closer to see it clearly.	你得再靠近水邊一點。	You need to get closer to the water.	0.83
You must be closer to do that.	你得靠近一點才能這麼做。	You need to be closer to do that.	0.86
This is the throne room of the leprechaun King.	這裡是地穴人國王的王座廳。	This is the throne room of the Leprechaun King.	0.98
The stairs are very steep and narrow.	這條小徑又陡又窄。	The path is very steep and narrow.	0.79
This is a small cave with stairs on one side and a very small hole on the other side.	這是一個小洞穴，一側有小徑，另一側有個非常小的洞。	This is a small cave with a path on one side and a very small hole on the other side.	0.94
This is the woodcutter's fiddle.	這是樵夫的那把舊小提琴。	This is the woodcutter's old fiddle.	0.94
You need to be in the water in order to swim.	你得先進到水裡才能游泳。	You must be in the water in order to swim.	0.90
You are already swimming!	你已經在游泳了。	You are already swimming.	0.96
You see nothing special.	格拉漢爵士，你沒看見什麼特別的東西。	You see nothing special, Sir Graham.	0.80
There is no "%w2" here.	這裡沒有矮人。	There is no dwarf here.	0.83
I don't understand "%w1".	我聽不懂「%s」。	I don't understand "%s".	0.94
I don't understand "%w2".	我聽不懂「%s」。	I don't understand "%s".	0.94
I don't understand "%w3".	我聽不懂「%s」。	I don't understand "%s".	0.94
What would you like to climb?	你想裝滿什麼？	What would you like to fill?	0.88
There is no "%w2" here to look at.	這裡沒有魚可以看！	There is no fish here to look at!	0.84
You do not have any water.	你身上沒有胡蘿蔔。	You do not have a carrot.	0.82
There is no door here.	這裡沒有矮人。	There is no dwarf here.	0.89
The goat does not mind getting its feet wet,but will not swim in the water.  You should go back and lead the goat around the water.	山羊不介意弄濕腳，但牠不會游泳。你該回頭，帶著山羊繞過那片水域。	The goat does not mind getting its feet wet, but will not swim in the water. You should go back and lead the goat around the water.	1.00
