 File 	 檔案 
Cautiously, you open the pouch and see many sparkling and flashing diamonds! Quickly, you close it again so as not to lose any.	你小心翼翼地打開皮袋，看見許多閃閃發光的鑽石！你趕緊把它關上，以免弄丟。
You have already filled the bowl.	你已經把碗裝滿了。
What would you like to fill?	你想裝滿什麼？
To your astonishment, something begins to bubble up from the bottom of the bowl.  Within moments, the bowl is filled with a hot, savory stew.	令你驚訝的是，碗底開始冒出泡泡。轉眼間，碗裡就裝滿了熱騰騰、香氣四溢的燉肉。
You open the chest and admire the gold coins for a moment. You then close the chest.	你打開金盒子，欣賞了一會兒裡頭的金幣，接著把盒子關上。
You are dazzled by the countless supply of gold coins spilling from the magic chest.  You quickly close the chest.	金盒子裡湧出源源不絕的金幣，讓你看得眼花撩亂。你趕緊把盒子關上。
You try, but being invisible makes it impossible.	你試過了，但隱形讓這件事變得不可能。
You had the dagger and lost it.  Sorry.	你原本有那把短刀，但弄丟了，很抱歉。
Though you're an extremely able and talented knight, throwing a dagger and swimming at the same time is quite beyond your abilities.	雖然你是個十分能幹又有才華的騎士，但一邊游泳一邊擲短刀，還是超出了你的能力範圍。
You don't have any rocks for the slingshot.	你身上沒有石頭可以用投石器發射。
You can't aim something you can't see.	你沒辦法瞄準看不見的東西。
Safety dictates that you should not use the slingshot while in the water.	為了安全起見，你不該在水中使用投石器。
You throw your last pebble.	你丟出了最後一顆鵝卵石。
You throw one of your pebbles.	你丟出一顆鵝卵石。
You might have something very clever in mind, but it's not going to work. Leave the water in the bucket for now.	你心裡也許在打什麼如意算盤，但這行不通。水桶裡的水先留著吧。
No matter how fast you throw the water, it won't be quick enough to keep you from drowning!	不管你把水丟得多快，都來不及讓你不被淹死！
That's hard to do while you are swimming.	游泳的時候很難做到這件事。
The water is fine where it is.	水留在原地就好。
You don't have any water to throw.	你沒有水可以丟。
No matter how quickly you drink this water, there's still enough for you to drown in.	不管你喝水喝得多快，剩下的水還是足以把你淹死。
You open your mouth while swimming and quench your thirst.	你游泳時張開嘴巴，解了口渴。
You have to scoop the water with your hands, but you manage to satisfy your thirst.	你得用雙手捧水喝，但總算解了渴。
You drain the bucket of water to quench your thirst.	你把水桶裡的水喝乾，解了渴。
You are not close enough to the water.	你離水不夠近。
You are already carrying an endless supply of gold coins in the magic chest.	你身上已經帶著裝有源源不絕金幣的金盒子了。
You are already carrying a golden walnut.	你身上已經帶著一顆金胡桃了。
You are already carrying a golden egg.	你身上已經帶著一顆金蛋了。
Where? There is no gold here.	在哪裡？這裡沒有黃金。
At the thought of removing the knife from the dead goat, you are filled with remorse.	一想到要從死去的山羊身上拔出刀子，你就心生懊悔。
You won't be needing that on your quest, Sir Graham.	格拉漢爵士，你的冒險用不到那個。
You can't do that.	你沒辦法這麼做。
There isn't a beanstalk here to look at.	這裡沒有豆莖可以看。
The edge of the dagger has been honed to razor sharpness.	這把短刀的刀刃磨得像剃刀一樣鋒利。
There are no edges of special interest here.	這裡沒有什麼特別的邊緣值得注意。
You see nothing special, Sir Graham.	格拉漢爵士，你沒看見什麼特別的東西。
If you have to ask why, you'll never understand.	如果你非得問為什麼，你永遠不會懂。
Because why?	為什麼要為什麼？
Why?	為什麼？
What indeed.	問得好，是什麼呢？
That's for me to know and Sir Graham to find out.	這件事我知道，就等格拉漢爵士自己去發現吧。
Who do you think?	你猜是誰？
When you figure out the puzzle!	等你解開謎題就知道了！
You cannot do that, Sir Graham.	格拉漢爵士，你沒辦法這麼做。
You smell nothing unusual.	你沒有聞到什麼不尋常的味道。
Keep it to yourself.	這件事你自己知道就好。
You can't.	你辦不到。
That's strange... you don't get an answer.	真奇怪……你沒有得到任何回應。
Talking to yourself is a sure sign that the hot Daventry sun is taking its toll on you.	自言自語，肯定代表戴凡確炎熱的太陽把你曬得不輕了。
Sir Graham, please try to find another word for "%s."	格拉漢爵士，請試著為「%s」換個說法。
"%s" in "%s"	「%s」在「%s」中
Please try to rephrase that thought, Sir Graham.	格拉漢爵士，請試著換句話說。
Please try something else, Sir Graham.	格拉漢爵士，請試試別的辦法。
 Score: %d of %d%13s%s%1s	 得分：%d／%d%13s%s%1s
You see a useless dead goat lying lifeless on the ground.	你看見一隻毫無用處的山羊死屍，直挺挺地躺在地上。
The goat is grazing nearby.	山羊正在附近吃草。
The old goat, trotting briskly, seems happy to be with you.	這隻老山羊小跑步跟著你，看起來很開心能跟你在一起。
The goat is wandering this way and that, exploring his little pen.	山羊在牠的小圍欄裡東晃西晃，四處探索。
The goat has wandered off to the other side of his pen.	山羊已經晃到圍欄的另一邊去了。
This is the ugliest, meanest, nastiest troll you have ever seen.  And he is not about to let anybody cross his bridge.	這是你見過最醜、最兇惡、最討人厭的矮精靈。他絕不會讓任何人踏過他的橋。
There is no troll here.	這裡沒有矮精靈。
You have %d smooth, rounded pebble.	你有 %d 顆光滑圓潤的鵝卵石。
You have %d smooth, rounded pebbles.	你有 %d 顆光滑圓潤的鵝卵石。
rm%03d: %s: %s 	rm%03d: %s: %s 
It's not quite within reach, Sir Graham.	格拉漢爵士，這東西不太搆得到。
You don't have anything that fits that description in your inventory.	你的物品欄裡沒有符合這個描述的東西。
You're too busy.	你正忙著呢。
You're too busy right now.	你現在正忙著呢。
You cannot reach the door from here.	你在這裡搆不到那扇門。
You recall a rule prohibiting goats (except seeing-eye goats) from entering the castle.	你想起有條規定禁止山羊（導盲山羊除外）進入城堡。
That's odd.  Why aren't the guards at their posts?	真奇怪，衛兵怎麼沒在崗位上？
You reconsider the wisdom of returning to King Edward without having recovered Daventry's three lost treasures.	你重新考慮了一下，還沒找回戴凡確王國失落的三件寶物就回去見愛德華國王，這樣真的明智嗎？
The portcullis is already closed.	閘門已經關上了。
Your knock echoes within the castle.  Unfortunately, no one answers.	你的敲門聲在城堡裡迴盪，可惜沒有人應門。
If you inherit the throne, you may do whatever you please with the urns.  Until then, leave them alone.	等你繼承王位之後，這些甕你要怎麼處置都行。在那之前，別去動它們。
The pots are full of dirt and roots.  There's nothing remotely helpful in or around the urns.	甕裡裝滿了泥土和根鬚，甕內外都沒有什麼派得上用場的東西。
There are no guards in sight.	附近看不到衛兵。
This deep swampy moat is patrolled by vicious serpents.	這條又深又泥濘的護城河裡，有兇猛的巨蛇巡邏。
The vines creeping up the walls of the castle are rooted in these two large urns.	攀爬城牆的藤蔓，根就扎在這兩個大甕裡。
The castle walls are carpeted with a thick tangle of vines.	城牆上爬滿了一片濃密糾結的藤蔓。
You can't see any flowers from where you stand.	你站的地方看不到任何花朵。
There are small flowers growing along the moat.	護城河邊長著一些小花。
The guards are surprised at your sudden appearance.	衛兵們對你突然出現感到十分驚訝。
Before entering the castle, you remove your ring so as not to startle the ailing King.	進城堡之前，你先取下戒指，以免驚動臥病在床的國王。
These stone-faced guards must have been trained not to converse with anybody.  They ignore you, Sir Graham.	這些面無表情的衛兵，想必受過訓練不與任何人交談。他們對你視若無睹，格拉漢爵士。
The guards are well provided-for by King Edward.  They are not interested in any of your belongings.	愛德華國王待衛兵不薄，他們對你的任何物品都沒興趣。
These are the guards of your king, King Edward.  It would be very unwise to make enemies of them, Sir Graham.	這些是你的國王——愛德華國王的衛兵。格拉漢爵士，與他們結怨可不是明智之舉。
These stone-faced guards must have been trained not to show any type of affection.  They ignore you, Sir Graham.	這些面無表情的衛兵，想必受過訓練不表露任何情感。他們對你視若無睹，格拉漢爵士。
These guards protect the King's castle.	這些衛兵負責守護國王的城堡。
Just walk up to the portcullis and open it.	只要走到閘門前把它打開就行了。
This portcullis is the only entrance to the King's castle.	這道閘門是通往國王城堡的唯一入口。
These beautiful urns adorn the front of the castle.	這些精美的甕裝飾著城堡的正面。
You never know what sort of fierce creatures lie just beneath the surface of the moat.	你永遠不知道護城河水面下潛伏著什麼兇猛的生物。
There is a hole where the rock once was.	石頭原本所在的地方，現在留下一個洞。
You're in a shady forest clearing.  A large rock rests in the middle of the clearing next to a shallow hole where the rock used to sit.	你身處一片林蔭下的空地。空地中央有塊大石頭，旁邊有個淺洞，正是這塊石頭原本擺放的地方。
You're in a shady forest clearing.  A large rock rests in the middle of the clearing.	你身處一片林蔭下的空地，空地中央有塊大石頭。
There is a shallow hole where the rock once rested in.	石頭原本擺放的地方，現在留下一個淺洞。
There is an intricately carved dagger in the hole.	洞裡有一把雕工精細的短刀。
You see a large rock resting in the middle of the clearing.	你看見空地中央擺著一塊大石頭。
There's not a lot to see except for the grass beneath your feet and a couple of large rocks.	這裡沒什麼好看的，只有腳下的草地和幾塊大石頭。
There is nothing in this hole but dirt.	這個洞裡除了泥土什麼也沒有。
You are too far away from the hole to see into it.	你離那個洞太遠，看不清裡面。
There is no hole here.	這裡沒有洞。
There's nothing interesting about the dirt.	這些泥土沒什麼特別的。
You could see it better if you picked it up.	把它撿起來，你會看得更清楚。
You do not have a dagger to look at.	你身上沒有短刀可以看。
You can't read the runes, but it appears to be an elvish dagger of great antiquity.	你看不懂上面的符文，但這似乎是一把年代久遠的小精靈短刀。
You don't have any carvings to look at.	你身上沒有任何雕刻品可以看。
You are already standing in the hole.	你已經站在洞裡了。
You can just walk right over into the hole.  It's very shallow.	你可以直接走進那個洞，洞很淺。
You don't see a hole.	你沒看到洞。
You have thrown the dagger and it is lost forever.	你已經把短刀扔出去了，永遠找不回來了。
You've already accomplished that task.	你已經完成過這件事了。
You can't pick up the dagger while you're invisible.	你隱形的時候沒辦法撿起短刀。
You might be able to do that if you weren't ducking!	要是你沒蹲著，也許就能做到！
You are too far away to get the dagger.	你離得太遠，拿不到短刀。
There is no dagger here.	這裡沒有短刀。
The rock is much, much harder than your foot.  You'd injure yourself.	這塊石頭比你的腳硬得多，你會弄傷自己的。
It is a large rock.  There is a shallow hole in the ground where the rock used to sit.	這是一塊大石頭，地上有個淺洞，正是這塊石頭原本擺放的地方。
You see a large, grey rock.	你看見一塊灰色的大石頭。
There's nothing useful or interesting about this rock.	這塊石頭沒什麼有用或有趣的地方。
This rock is far too heavy for you to carry.	這塊石頭太重了，你搬不動。
You are much too far away to even attempt getting the rock.	你離得太遠了，根本不用嘗試去拿那塊石頭。
The rock is far too heavy to be picked up.	這塊石頭太重了，撿不起來。
It will be very difficult to move the rock from here.	從這裡要移動這塊石頭會很困難。
After moving that rock once, just the thought of moving it again exhausts you.	你已經搬過那塊石頭一次，光是想到要再搬一次就讓你筋疲力盡。
It's pretty hard to move the rock while you're invisible.	隱形的時候，要搬動石頭相當困難。
With a small shove, you manage to push the rock a few feet... revealing a shallow hole underneath.	你輕輕一推，把石頭推開了幾步……底下露出一個淺洞。
You reach into the hole and grasp the dagger, being careful not to cut yourself.	你伸手進洞裡抓住短刀，小心翼翼不讓自己受傷。
There are many smooth pebbles next to the lake.	湖邊有許多光滑的鵝卵石。
You're standing on a pebble strewn patch of sand on the river bank.	你站在河岸上一片滿是鵝卵石的沙地上。
You see your own boot-clad feet.	你看見自己穿著靴子的雙腳。
There is a beach of pebbles on its edge.	邊上有一片鵝卵石灘。
The sandy beach along the side of the lake is strewn with small pebbles.	湖邊的沙灘上散落著許多小鵝卵石。
The only rocks of interest are some pebbles on the beach.	唯一值得注意的石頭，就是沙灘上的那些鵝卵石。
From here it looks like an ordinary beach of pebbles.	從這裡看，這只是一片普通的鵝卵石灘。
The only rocks worth getting are some pebbles on the beach.	唯一值得撿的石頭，就是沙灘上的那些鵝卵石。
You are not close enough to the pebbles to get them.	你離鵝卵石不夠近，撿不到。
Your pockets cannot hold any more pebbles.	你的口袋裝不下更多鵝卵石了。
You can't pick up any of the pebbles while you are invisible.	你隱形的時候沒辦法撿起任何鵝卵石。
You grab a handful of pebbles.	你抓了一把鵝卵石。
You grab a pebble.	你撿起一顆鵝卵石。
You grab some pebbles.	你撿起幾顆鵝卵石。
As you slip into the water, the magic ring slips from your finger.	你滑入水中時，魔戒從你的手指上滑落了。
That's one giant leap for the fish!	對這條魚來說，這可是一大步啊！
Looks like all the fish are currently underwater.	看來所有的魚現在都在水面下。
The fish would make your clothes smell and wouldn't be any help on your quest.	那條魚只會讓你的衣服發臭，對你的冒險毫無幫助。
This is a serene mountain lake.	這是一座寧靜的山中湖泊。
In the woods to the north, you can just see what looks like an old stone well.	在北邊的樹林裡，你隱約看見一口像是古老石井的東西。
The sunlight glistens on the rippling water.	陽光在粼粼水波上閃耀。
Do you see any fish here at the moment?	你現在有看到任何魚嗎？
Perhaps you'll find a use for a fish in a different King's Quest, but not in this one.	也許在另一款《國王密令》裡，魚會派上用場，但這一款不會。
You already have the pouch.	你已經拿到皮袋了。
You found it already.	你已經找到了。
Haven't you found it yet?	你還沒找到嗎？
Inside the rotting stump you notice a small leather pouch.	你在腐朽的樹樁裡發現一個小皮袋。
Inside the decaying tree stump, you see nothing interesting.	在這個腐朽的樹樁裡，你沒看到什麼特別的東西。
Why don't you move closer to try that?	你何不靠近一點再試試看？
You peer into the darkness inside the log, but there's nothing at all inside.	你窺探樹幹內部的黑暗，但裡面什麼也沒有。
You're not close enough to see into the log.	你離得不夠近，看不進樹幹裡面。
From here you can see the stump is very old and rotting away.	從這裡你看得出這個樹樁又老又朽。
You can only vaguely see the stump from this distance.	隔著這段距離，你只能隱約看見那個樹樁。
Next to you is an old fallen tree trunk.  It's crumbling and rotted, and holds no interest for you... unless you have a fascination with termites!	你身旁有一根倒下的老樹幹，已經腐朽崩解，沒什麼好看的……除非你對白蟻特別著迷！
You can't see much of the log from over here.	從這裡看不清楚那根樹幹。
You're in a quiet part of the forest.  There's an old rotted stump here.	你身處森林一處僻靜的地方，這裡有個腐朽的老樹樁。
You can't see the termites unless you split open the log.  But that would be a waste of time.	除非劈開樹幹，否則你看不到白蟻，但那只是浪費時間。
You're not that hungry.  You hope that you NEVER become that hungry!	你沒那麼餓，你希望自己永遠都不會餓成那樣！
They're obviously more afraid of you than you are of them.  Leave them alone.	顯然牠們比你還怕，別去招惹牠們。
There is no reason to take this old log with you.	沒有理由把這根老樹幹帶在身上。
You are already carrying them in your leather pouch.	你已經把它們裝在皮袋裡帶著了。
You already have the leather pouch.	你已經有這個皮袋了。
There's no pouch here.	這裡沒有皮袋。
You have to find it first.	你得先找到它。
As you lift the pouch from the stump, you feel its contents shifting inside.	你把皮袋從樹樁上拿起時，感覺得到裡頭的東西正在晃動。
You should try getting closer.	你應該試著靠近一點。
A small, pleasant waterfall pours into a crystal clear lake.	一道小巧宜人的瀑布，注入一座清澈見底的湖泊。
A small spring bubbles up from the rocks here and splashes into the lake.	這裡的岩石間湧出一道小泉水，濺入湖中。
This is a peaceful little lake, fed by a nearby waterfall.	這是一座寧靜的小湖泊，由附近的瀑布注入湖水。
Flowing into this peaceful lake is a small waterfall.	一道小瀑布流入這座寧靜的湖泊。
The flowers are very beautiful.	這些花朵十分美麗。
The fish are certainly getting their exercise today.	這些魚今天倒是游得挺起勁的。
There is no fish here to look at!	這裡沒有魚可以看！
You won't be needing any fish on your quest.	你的冒險用不到魚。
You are standing in a clearing.  The view of the forest is most pleasant here.	你站在一片空地上，這裡眺望森林的景色十分宜人。
There is no fairy here.	這裡沒有仙女。
She is your fairy godmother.	她是你的教母。
It is impossible to acquire a fairy godmother.	你不可能得到一位教母。
There is no need to say, or do, anything.	你不需要說什麼，也不需要做什麼。
FAIRY GODMOTHER: "Gentle Sir Graham, I am your fairy godmother."	教母：「親愛的格拉漢爵士，我是你的教母。」
FAIRY GODMOTHER: "Your quest is indeed noble.  What little aid I can offer you is this protective magic spell, effective but a little while."	教母：「你的任務確實崇高。我能給你的些許幫助，就是這道守護魔法，只是效力短暫。」
FAIRY GODMOTHER: "I shall be watching over you, Sir Graham."	教母：「我會在一旁守護著你，格拉漢爵士。」
While you were wandering in the pen, the goat has wandered away.	你在羊圈裡四處閒晃時，山羊已經跑走了。
The goat doesn't see you anymore.	山羊再也看不見你了。
Silly!  Goats can't talk.	傻瓜！山羊不會說話。
Why?  The goat seems to be following you quite nicely.	為什麼？山羊看起來跟得挺乖的。
You wouldn't get very far carrying the goat.  Perhaps you can get him to follow you if you'd like to take him somewhere.	抱著山羊走不了多遠。如果你想帶牠去哪裡，也許可以讓牠跟著你走。
You cannot do that from outside the fence.	你在欄杆外做不到這件事。
What do you want to feed the old goat?	你想餵這隻老山羊吃什麼？
You can try, but be careful.	你可以試試看，但要小心。
Are you kidding? The goat would never let you!	你在開玩笑嗎？山羊絕不會讓你這麼做！
You do not have a carrot.	你身上沒有胡蘿蔔。
You are too far away.	你離得太遠了。
You and all your belongings are invisible. The goat can't see your carrot.	你和你身上所有的東西都是隱形的，山羊看不見你的胡蘿蔔。
Goats love carrots! The old goat quickly devours yours and stops following you.	山羊最愛胡蘿蔔了！老山羊很快就把你的胡蘿蔔吃光，也不再跟著你了。
Goats love carrots! The old goat quickly devours yours.	山羊最愛胡蘿蔔了！老山羊很快就把你的胡蘿蔔吃光了。
The goat is already following you.	山羊已經在跟著你了。
You need to get into the goat pen.	你得先進到羊圈裡。
You need to get a little closer.	你得再靠近一點。
The goat, unable to see either you or the carrot, is not impressed in the slightest by the carrot.	山羊既看不見你，也看不見胡蘿蔔，對這根胡蘿蔔絲毫不感興趣。
The goat must be on the other side of the goat pen.	山羊一定在羊圈的另一頭。
He's already dead, it just wouldn't be the same.	牠已經死透了，再做一次也沒什麼意思。
You can't do that while your invisible.	你隱形的時候沒辦法做這件事。
You don't have everything you need to do that.	你身上東西不齊全，沒辦法做這件事。
Pelting the goat with pebbles would be a slow and painful way to kill him.  If you feel you absolutely must do away with him, use a quicker method.	用鵝卵石砸山羊，是既緩慢又痛苦的殺法。如果你真的非除掉牠不可，用更快的方法吧。
You need to go into the pen to kill the goat.	你得先進到羊圈裡，才能殺這隻山羊。
You should get closer to the goat first.	你應該先靠近山羊一點。
You don't have a good weapon with which to kill the goat.	你身上沒有適合殺死山羊的武器。
Since you are invisible, everything you own is invisible.  The goat cannot see the carrot.	既然你是隱形的，你身上所有的東西也都是隱形的，山羊看不見那根胡蘿蔔。
There is no goat in the immediate area.	附近沒有山羊。
The fence is too high for you to jump over.	欄杆太高了，你跳不過去。
It would be easier to just open the gate.	直接打開閘門會容易得多。
It is high enough to keep the old goat from jumping over it.	這欄杆夠高，老山羊跳不過去。
The goat pen is crudely made of small tree limbs.  At the other end you see a gate.	這座羊圈是用細小的樹枝簡陋搭成的，另一頭有一道閘門。
You are in the small goat pen.	你在這座小羊圈裡。
Someone has built a small goat pen here.	有人在這裡搭了一座小羊圈。
You see a gate at the other end of the goat pen.	你看見羊圈的另一頭有一道閘門。
There must be a gate around here somewhere.	這附近一定有一道閘門。
That would be very much like beating a dead horse, wouldn't it?	那豈不是像鞭打死馬一樣，白費力氣嗎？
A gallant knight such as yourself would never attack an innocent goat.	像你這樣英勇的騎士，絕不會攻擊一隻無辜的山羊。
The old goat shows some interest in the carrot.	這隻老山羊對胡蘿蔔顯得有些興趣。
Very clever!  You tempt the goat with the carrot and he begins to follow you around.  You've made a friend!	真聰明！你用胡蘿蔔引誘山羊，牠開始跟著你到處走。你交到一個朋友了！
Oh, no!  The goat has escaped through the gate that you left open behind you.  He could have wandered anywhere by now.	糟了！山羊從你沒關上的閘門逃走了，現在牠可能跑到任何地方去了。
There is a small bush near the pen.	羊圈附近有一叢小灌木。
There are several willowy shade trees around the goat pen.	羊圈四周有幾棵柳枝搖曳的遮蔭樹。
This is the crude wooden fence that encloses the goat and his trough.	這是圍住山羊和牠飼料槽的簡陋木欄杆。
The goat, unable to see either you or the carrot, doesn't react to your offering.	山羊既看不見你，也看不見胡蘿蔔，對你遞出的東西毫無反應。
The goat seems to have left through the gate.	山羊似乎已經從閘門離開了。
The gate to the pen is open.	羊圈的閘門是開著的。
The goat pen is crudely made of small tree limbs. At this end you see a gate.	這座羊圈是用細小的樹枝簡陋搭成的，這一頭有一道閘門。
The gate to the pen is closed.	羊圈的閘門是關著的。
You see the goats trough near the other end of the pen.	你看見羊圈另一頭附近有山羊的飼料槽。
The gate is already open.	閘門已經是開著的了。
There is no need to close the gate, since the goat seems content to follow you.	不需要關上閘門，山羊看起來很樂意跟著你走。
The gate is already closed.	閘門已經是關著的了。
When you tempt the old goat with the carrot, he starts to follow you.	你用胡蘿蔔引誘老山羊，牠便開始跟著你走。
You had better wait for the goat, or he may not follow you.	你最好等等這隻山羊，不然牠可能不會跟上來。
While you are wandering about in the goat's pen, the goat grows tired of standing around waiting for you and decides to go on his separate way.	你在羊圈裡到處閒晃時，山羊等得不耐煩了，便自顧自地走開了。
The vines aren't strong enough to be of any use to you.	這些藤蔓不夠堅韌，對你沒什麼用處。
You have encountered an old stone well in the middle of these woods.	你在這片樹林中央發現一口古老的石井。
They raise their colorful faces to the sun.	它們仰起繽紛的臉龐，迎向陽光。
The deep well dissolves quickly into darkness; you can barely see the glint of rippling water at the bottom.	這口深井很快就隱沒在黑暗之中，你僅能勉強看見井底水波閃爍的微光。
You are not close enough to see into the well.	你離得不夠近，看不進井裡。
You see lush green Daventry grass.	你看見戴凡確王國蒼翠茂密的草地。
The well looks as if it's been here a long time.	這口井看起來已經存在很久了。
You can't quite see the bucket well enough to see if anything's in it.	你看不清楚水桶，無法確定裡頭有沒有東西。
From up here, you can't make out any details of the water below.	從這裡往下看，你沒辦法看清下方水面的細節。
You don't see any water here.	這裡沒有看到水。
All the water is at the bottom of the well.	所有的水都在井底。
Now that you've cut the rope, there's no way for you to get the bucket to the bottom of the well.	既然你已經割斷繩索，就沒辦法把水桶送到井底了。
You already have a bucket full of water.	你已經有一桶裝滿水的水桶了。
