The Leprechaun King, not understanding your words, ignores you.	The Leprechaun King, not understanding your words, ignores you.
The woodcutter has fed his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.	The woodcutter has fed his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.
A woman is laying in bed, pale and still.  Her husband is seated on the bed, holding her hand.	A woman is laying in bed, pale and still.  Her husband is seated on the bed, holding her hand.
This house looks as shabby and tumbledown inside as it does outside, but it's surprisingly neat and tidy.  The sagging bed fills most of the room, and a fire burns cheerfully in the old stone fireplace. A large wooden table and a smaller nightstand are nearby; above the nightstand is a small cabinet.	This house looks as shabby and tumbledown inside as it does outside, but it's surprisingly neat and tidy.  The sagging bed fills most of the room, and a fire burns cheerfully in the old stone fireplace. A large wooden table and a smaller nightstand are nearby; above the nightstand is a small cabinet.
An earthenware pitcher sits on the nightstand.	An earthenware pitcher sits on the nightstand.
The old nightstand is nothing more than a small table at the foot of the bed.	The old nightstand is nothing more than a small table at the foot of the bed.
There are no drawers in this nightstand.	There are no drawers in this nightstand.
The nightstand won't be of any help to you on your quest.	The nightstand won't be of any help to you on your quest.
The woodcutter and his wife have gone to great pains to make their shabby home as neat and clean as possible.	The woodcutter and his wife have gone to great pains to make their shabby home as neat and clean as possible.
What are you going to do, dive onto the bed?  Not with the woodcutter's wife in bed, you're not!	What are you going to do, dive onto the bed?  Not with the woodcutter's wife in bed, you're not!
The bed is already occupied. Neither the woodcutter nor his wife would look kindly upon your intrusion on their personal space.	The bed is already occupied. Neither the woodcutter nor his wife would look kindly upon your intrusion on their personal space.
You should not steal from these poor people, Sir Graham!	You should not steal from these poor people, Sir Graham!
The woodcutter offered you his fiddle, which is all he can spare.  It would be unknightly to take anything else from these poor people.	The woodcutter offered you his fiddle, which is all he can spare.  It would be unknightly to take anything else from these poor people.
The woodcutter's wife is too polite to speak with her mouth full!	The woodcutter's wife is too polite to speak with her mouth full!
The woodcutter's wife is too fatigued to speak, but you can see in her eyes that she's very grateful...and happier than she's been in a long time.	The woodcutter's wife is too fatigued to speak, but you can see in her eyes that she's very grateful...and happier than she's been in a long time.
The woodcutter's poor wife appears to be near death.	The woodcutter's poor wife appears to be near death.
The woodcutter is startled by the voice that appears to come from nowhere, but quickly returns to tending his wife.	The woodcutter is startled by the voice that appears to come from nowhere, but quickly returns to tending his wife.
WOODCUTTER:  "Please, Sir Knight, take my fiddle as a small token of thanks."	WOODCUTTER:  "Please, Sir Knight, take my fiddle as a small token of thanks."
WOODCUTTER:  "Thank you, Sir Knight!"	WOODCUTTER:  "Thank you, Sir Knight!"
The woodcutter, still holding his wife's hand and gazing at her pale face, does not seem to hear you.	The woodcutter, still holding his wife's hand and gazing at her pale face, does not seem to hear you.
It doesn't respond, but that shouldn't be surprising.	It doesn't respond, but that shouldn't be surprising.
with whom do you wish to talk, Sir Graham?	with whom do you wish to talk, Sir Graham?
The poor woman is too weak to even notice.	The poor woman is too weak to even notice.
What stew?  There is no stew in your bowl.	What stew?  There is no stew in your bowl.
Move a little closer, Sir Graham.	Move a little closer, Sir Graham.
You don't have the stew.  You were kind enough to give it away for the woodcutter wife's speedy recover.	You don't have the stew.  You were kind enough to give it away for the woodcutter wife's speedy recover.
It would be terribly cruel to eat in front of these poor, starving people.  Your conscience prevents you from being so inconsiderate.	It would be terribly cruel to eat in front of these poor, starving people.  Your conscience prevents you from being so inconsiderate.
You don't have one of those to give.	You don't have one of those to give.
You have already given the woodcutter a bowl filled with stew.  To help him now, you must hurry and complete your mission.	You have already given the woodcutter a bowl filled with stew.  To help him now, you must hurry and complete your mission.
The woodcutter has already given the fiddle to you. It would be rude to return it.	The woodcutter has already given the fiddle to you. It would be rude to return it.
The woodcutter gratefully accepts the walnut, but is too weak to open it.	The woodcutter gratefully accepts the walnut, but is too weak to open it.
The woodcutter has little use for that.	The woodcutter has little use for that.
You wouldn't want to hurt them.	You wouldn't want to hurt them.
The woodcutter's wife is in the bed, sitting up and and eating hearty stew by the spoonful.	The woodcutter's wife is in the bed, sitting up and and eating hearty stew by the spoonful.
The woodcutter's wife is getting a bit of color back in her cheeks.  With your help, she'll be making a full recovery.	The woodcutter's wife is getting a bit of color back in her cheeks.  With your help, she'll be making a full recovery.
The woodcutter's wife lies in bed.  Years of struggle and poverty have taken their toll on her; she looks much older than she really is.	The woodcutter's wife lies in bed.  Years of struggle and poverty have taken their toll on her; she looks much older than she really is.
The woodcutter sits on the edge of the bed, next to his wife.  Ever since the woods became too dangerous to venture into, he has not been able to earn a decent living.	The woodcutter sits on the edge of the bed, next to his wife.  Ever since the woods became too dangerous to venture into, he has not been able to earn a decent living.
The woodcutter has the magic bowl you've given him; at the moment, it's filled with hot, savory stew.	The woodcutter has the magic bowl you've given him; at the moment, it's filled with hot, savory stew.
The woodcutter's most treasured possession, a fine old fiddle, lies on the table.	The woodcutter's most treasured possession, a fine old fiddle, lies on the table.
A large fire burns merrily in the fireplace, providing some warmth in the drafty old cottage.	A large fire burns merrily in the fireplace, providing some warmth in the drafty old cottage.
An old earthenware pitcher sits on the table.	An old earthenware pitcher sits on the table.
It's empty.	It's empty.
A cracked old bowl sits beside the pitcher on the table.	A cracked old bowl sits beside the pitcher on the table.
The woodcutter speaks with joy in his voice.	The woodcutter speaks with joy in his voice.
WOODCUTTER:  "Sir Knight, bless you!  Even now, my wife is recovering due to your kindness."	WOODCUTTER:  "Sir Knight, bless you!  Even now, my wife is recovering due to your kindness."
The woodcutter speaks, his voice broken with sorrow.	The woodcutter speaks, his voice broken with sorrow.
WOODCUTTER:  "Oh, Sir Knight, you have returned.  But I fear that my wife grows weaker still for lack of food.	WOODCUTTER:  "Oh, Sir Knight, you have returned.  But I fear that my wife grows weaker still for lack of food.
The woodcutter speaks to you, his voice broken with sorrow.	The woodcutter speaks to you, his voice broken with sorrow.
WOODCUTTER:  "We would welcome you to our home, Sir Knight, but we have had no food for so long, my beautiful wife cannot even rise from her bed.  I fear she may die soon."	WOODCUTTER:  "We would welcome you to our home, Sir Knight, but we have had no food for so long, my beautiful wife cannot even rise from her bed.  I fear she may die soon."
WOODCUTTER:  "Sir Knight, an empty bowl will not help us now."	WOODCUTTER:  "Sir Knight, an empty bowl will not help us now."
The woodcutter is overwhelmed with joy.	The woodcutter is overwhelmed with joy.
WOODCUTTER:  "Thank you, thank you, Sir Knight!  We shall never forget your kindness and generosity."	WOODCUTTER:  "Thank you, thank you, Sir Knight!  We shall never forget your kindness and generosity."
WOODCUTTER:  "Please, take my fiddle as a small token of our thanks."	WOODCUTTER:  "Please, take my fiddle as a small token of our thanks."
The woodcutter gratefully accepts the treasure.	The woodcutter gratefully accepts the treasure.
The woodcutter accepts your meager gift of food.	The woodcutter accepts your meager gift of food.
WOODCUTTER:  "Thank you, Sir Knight, but I fear that only a gift of food will save my poor wife from starvation."	WOODCUTTER:  "Thank you, Sir Knight, but I fear that only a gift of food will save my poor wife from starvation."
WOODCUTTER:  "Thank you, Sir Knight.  This will help... for a while."	WOODCUTTER:  "Thank you, Sir Knight.  This will help... for a while."
There is a sturdy old plank table here.  The food it once held is long gone, but there appears to be a fiddle on the table.	There is a sturdy old plank table here.  The food it once held is long gone, but there appears to be a fiddle on the table.
There is a sturdy old plank table here.  The food it once held is long gone.	There is a sturdy old plank table here.  The food it once held is long gone.
The woodcutter and his wife are on the bed.	The woodcutter and his wife are on the bed.
You can't do that while you're invisible, Sir Graham.	You can't do that while you're invisible, Sir Graham.
You see the goat far, far below you, wandering off to explore Daventry on his own.	You see the goat far, far below you, wandering off to explore Daventry on his own.
Shall we really begin the adventure from the very beginning?	Shall we really begin the adventure from the very beginning?
Dost thou truly wish to cease our adventuring?	Dost thou truly wish to cease our adventuring?
Use the arrow keys then enter or mouse to select option.	Use the arrow keys then enter or mouse to select option.
Introduction	Introduction
Begin Game	Begin Game
Credits	Credits
Continue Game	Continue Game
OUCH!	OUCH!
As the wicked witch flew over her cottage, she dropped you straight through the roof and into her cage.  Who knows what sinister plans she has in store for you?	As the wicked witch flew over her cottage, she dropped you straight through the roof and into her cage.  Who knows what sinister plans she has in store for you?
You are Sir Graham, the bravest and most honorable knight in the troubled realm of Daventry.	You are Sir Graham, the bravest and most honorable knight in the troubled realm of Daventry.
King Edward the Benevolent, aged ruler of Daventry, has summoned you to the castle for reasons unknown.	King Edward the Benevolent, aged ruler of Daventry, has summoned you to the castle for reasons unknown.
CASTLE GUARD: "Greetings, Sir Graham. The King is expecting you. Allow me to escort you to His Majesty's throne room."	CASTLE GUARD: "Greetings, Sir Graham. The King is expecting you. Allow me to escort you to His Majesty's throne room."
SIR GRAHAM: "Thank you, Sir Knight."	SIR GRAHAM: "Thank you, Sir Knight."
CASTLE GUARD: "Raise the portcullis!"	CASTLE GUARD: "Raise the portcullis!"
SIR GRAHAM: "I am at your service, my King."	SIR GRAHAM: "I am at your service, my King."
KING EDWARD: "I am an old man, Sir Graham.  Perhaps too old to carry the weight of this crown."	KING EDWARD: "I am an old man, Sir Graham.  Perhaps too old to carry the weight of this crown."
KING EDWARD: "My bones ache, my hands tremble.  I'm afraid my time on Earth grows short."	KING EDWARD: "My bones ache, my hands tremble.  I'm afraid my time on Earth grows short."
KING EDWARD: "But enough about me."	KING EDWARD: "But enough about me."
KING EDWARD: "Great misfortunes have befallen Daventry since the loss, years ago, of three magical treasures."	KING EDWARD: "Great misfortunes have befallen Daventry since the loss, years ago, of three magical treasures."
KING EDWARD: "I have chosen you, the finest knight in all of Daventry, to search for these lost treasures."	KING EDWARD: "I have chosen you, the finest knight in all of Daventry, to search for these lost treasures."
KING EDWARD: "Only then can this kingdom be restored to its former glory."	KING EDWARD: "Only then can this kingdom be restored to its former glory."
KING EDWARD: "And only then may I rest with the knowledge that my people are safe."	KING EDWARD: "And only then may I rest with the knowledge that my people are safe."
KING EDWARD: "The first treasure is a magic mirror that foretells the future."	KING EDWARD: "The first treasure is a magic mirror that foretells the future."
KING EDWARD: "The second is a magical shield that protects the bearer from all mortal harm."	KING EDWARD: "The second is a magical shield that protects the bearer from all mortal harm."
KING EDWARD: "The third and last is an enchanted chest that is forever filled with gold."	KING EDWARD: "The third and last is an enchanted chest that is forever filled with gold."
KING EDWARD: "I know that what I ask is difficult ...nay, perhaps impossible.  The dangers are many."	KING EDWARD: "I know that what I ask is difficult ...nay, perhaps impossible.  The dangers are many."
KING EDWARD: "But you are brave and pure of heart.  That is why I chose you to volunteer."	KING EDWARD: "But you are brave and pure of heart.  That is why I chose you to volunteer."
KING EDWARD: "If you succeed, you will inherit my crown, and will rule the Realm of Daventry as her rightful King."	KING EDWARD: "If you succeed, you will inherit my crown, and will rule the Realm of Daventry as her rightful King."
KING EDWARD: "Go, Sir Graham, and know that the fate of Daventry lies in your hands."	KING EDWARD: "Go, Sir Graham, and know that the fate of Daventry lies in your hands."
SIR GRAHAM: "Take heart, my King.  I shall not fail you."	SIR GRAHAM: "Take heart, my King.  I shall not fail you."
As you move further away from the goat, he forgets about your carrot and begins to wander off on his own.	As you move further away from the goat, he forgets about your carrot and begins to wander off on his own.
The goat decides it would be easier to stop following you than to get his fur wet.	The goat decides it would be easier to stop following you than to get his fur wet.
The goat does not mind getting its feet wet, but will not swim in the water.  You should go back and lead the goat around the water.	The goat does not mind getting its feet wet, but will not swim in the water.  You should go back and lead the goat around the water.
Seeing you swim away, the goat decides you've abandoned him and wanders off on his own.	Seeing you swim away, the goat decides you've abandoned him and wanders off on his own.
The goat is wandering nearby.	The goat is wandering nearby.
You don't have all you need in order to try something like that.	You don't have all you need in order to try something like that.
You blew your chance with the goat.	You blew your chance with the goat.
You don't have anything suitable for bringing a quick end to the goat.	You don't have anything suitable for bringing a quick end to the goat.
Since you've killed him, the goat just doesn't seem to display the same interest in the carrot.	Since you've killed him, the goat just doesn't seem to display the same interest in the carrot.
The goat is content to graze for now.	The goat is content to graze for now.
The goat cannot see you or the carrot.	The goat cannot see you or the carrot.
The goat seems to be looking for his own food right now.	The goat seems to be looking for his own food right now.
You don't have a carrot.	You don't have a carrot.
Goats love carrots!  The goat quickly devours yours and stops following you.	Goats love carrots!  The goat quickly devours yours and stops following you.
The goat is already following you! There's no reason to tease him mercilessly.	The goat is already following you! There's no reason to tease him mercilessly.
The goat isn't interested in you anymore.	The goat isn't interested in you anymore.
You viciously plunge the dagger deep into the poor goat's back.  He struggles in pain, bleating frantically, and finally slumps to the ground.	You viciously plunge the dagger deep into the poor goat's back.  He struggles in pain, bleating frantically, and finally slumps to the ground.
Goats love carrots!  The goat quickly devours yours and wanders away.	Goats love carrots!  The goat quickly devours yours and wanders away.
Unfortunately, drowning in the river is taking up all of your attention.	Unfortunately, drowning in the river is taking up all of your attention.
There is a green meadow on the other side of the river.	There is a green meadow on the other side of the river.
